Year,MonthNumber,MonthName,MonthKey,Quarter,DateKey,AccountKey,SubNumber,SubName,IsMaskedSubParent,AccountNumber,AccountName,City,State,ZIP,RawProduct,ServiceGroup,ServiceGroupShort,ServiceTier,Scope,IncludeInRanking,Volume,GrossSpend,NetSpend,Incentive,BilledWeightLbs,VolumeLY,NetSpendLY,IsNonServiceRow,HasVolume,IsSpendOnlyAdjustment,IsNegativeSpend,SourceFile,SourceLayout,ViewType
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,GROUND PKG,Ground,Ground,Deferred,Domestic,Yes,22127,795458.09,275287.33,520170.76,332350.9,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,GROUND CWT,Ground,Ground,Deferred,Domestic,Yes,117,14256.39,5050.35,9206.04,4000.7,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,STANDARD GROUND,Ground,Ground,Deferred,Domestic,Yes,256,6562.37,2056.72,4505.65,1962.7,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,3DS PKG,3 Day Select,3DS,Deferred,Domestic,Yes,316,14465.33,5408.45,9056.88,1344.6,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,2DA REG / EXPEDITED PKG,2nd Day Air / Expedited,2DA,Expedited,Domestic,Yes,1744,91764.11,32345.48,59418.63,5008.2,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,2DA REG / EXPEDITED LTR,2nd Day Air / Expedited,2DA,Expedited,Domestic,Yes,532,6152.31,2293.39,3858.92,255.4,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,2DA AM PKG,2nd Day Air Early A.M.,2DA AM,Expedited,Domestic,Yes,101,996.22,351.31,644.91,32.8,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,NDA PM / EXPRESS SAVER PKG,Next Day Air Saver,NDA Saver,Premium,Domestic,Yes,613,35796.22,11440.08,24356.14,695.7,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,NDA PM / EXPRESS SAVER LTR,Next Day Air Saver,NDA Saver,Premium,Domestic,Yes,184,6282.36,2006.64,4275.72,81.8,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,NDA REG / EXPRESS PKG,Next Day Air / Express,NDA,Premium,Domestic,Yes,1555,104999.97,36395.73,68604.24,4277.9,,,No,Yes,No,No,SAMPLE_2025_01_VolumeSpend.xlsx,Synthetic,Payor View
